model_id,model_name,trials,items,baseline_majority_accuracy,agentic_majority_accuracy,delta_majority_accuracy_pp,n_1to1_retained,n_1to0_iatrogenic,n_0to1_rescue,n_0to0_refractory,base_correct,base_wrong,safety_index,rescue_index,damage_rate,rescue_rate,net_rate,nnh,drr,mcnemar_p_value,q_value_bh_fdr,significant_negative_intervention
claude-opus-4.5,Claude Opus 4.5,5,165,0.8121212121212121,0.8424242424242424,3.0303030303030276,130,4,9,22,134,31,0.9701492537313433,0.2903225806451613,0.024242424242424242,0.05454545454545454,0.0303030303030303,33.0,0.4444444444444444,0.266845703125,0.6586863199869791,False
deepseek-v3.2,DeepSeek V3.2 Thinking,5,165,0.8484848484848485,0.8242424242424242,-2.4242424242424288,133,7,3,22,140,25,0.95,0.12,0.04242424242424243,0.01818181818181818,-0.024242424242424246,41.24999999999999,2.3333333333333335,0.34375,0.6586863199869791,False
gemini-3-pro-preview,Gemini 3 Pro Preview,5,165,0.9393939393939394,0.9030303030303031,-3.6363636363636376,148,7,1,9,155,10,0.9548387096774194,0.1,0.04242424242424243,0.006060606060606061,-0.03636363636363637,27.499999999999996,7.0,0.0703125,0.2578125,False
gpt-5.2,GPT-5.2,5,165,0.806060606060606,0.8181818181818182,1.21212121212122,126,7,9,23,133,32,0.9473684210526315,0.28125,0.04242424242424243,0.05454545454545454,0.012121212121212116,82.50000000000003,0.7777777777777778,0.803619384765625,0.8959823608398437,False
gpt-oss-120b,GPT OSS 120B,5,165,0.7575757575757576,0.7696969696969697,1.2121212121212088,120,5,7,33,125,40,0.96,0.175,0.030303030303030304,0.04242424242424243,0.012121212121212123,82.49999999999999,0.7142857142857143,0.7744140625,0.8959823608398437,False
gpt-oss-20b,GPT OSS 20B,5,165,0.806060606060606,0.703030303030303,-10.303030303030303,113,20,3,29,133,32,0.849624060150376,0.09375,0.12121212121212122,0.01818181818181818,-0.10303030303030303,9.705882352941178,6.666666666666667,0.00048828125,0.00537109375,True
kimi-k2-thinking,Kimi K2 Thinking,5,165,0.8303030303030303,0.8242424242424242,-0.60606060606061,130,7,6,22,137,28,0.948905109489051,0.21428571428571427,0.04242424242424243,0.03636363636363636,-0.006060606060606065,164.9999999999999,1.1666666666666667,1.0,1.0,False
minimax-m2.1,MiniMax M2.1,5,165,0.8666666666666667,0.8363636363636363,-3.0303030303030387,131,12,7,15,143,22,0.916083916083916,0.3181818181818182,0.07272727272727272,0.04242424242424243,-0.030303030303030297,33.00000000000001,1.7142857142857142,0.359283447265625,0.6586863199869791,False
qwen3-235b-a22b-thinking-2507,Qwen3 235B A22B Thinking,5,165,0.806060606060606,0.793939393939394,-1.2121212121212088,123,10,8,24,133,32,0.924812030075188,0.25,0.06060606060606061,0.048484848484848485,-0.012121212121212123,82.49999999999999,1.25,0.8145294189453125,0.8959823608398437,False
qwen3-30b-a3b-thinking-2507,Qwen3 30B A3B Thinking,5,165,0.806060606060606,0.8363636363636363,3.0303030303030276,123,10,15,17,133,32,0.924812030075188,0.46875,0.06060606060606061,0.09090909090909091,0.030303030303030304,33.0,0.6666666666666666,0.42435622215270996,0.6668454919542585,False
qwen3-max,Qwen3 Max,5,165,0.8606060606060606,0.806060606060606,-5.454545454545457,129,13,4,19,142,23,0.9084507042253521,0.17391304347826086,0.07878787878787878,0.024242424242424242,-0.054545454545454536,18.333333333333336,3.25,0.049041748046875,0.2578125,False
